Ceiling No.,Ceiling Type,Uvalue
1bw,Block Brick or Concrete - No Insulation,
2bw,Block Brick or Concrete - R2 Insulation,
3bw,Block Brick or Concrete - R4 Insulation,
4bw,Block Brick or Concrete - R6 Insulation,
5bw,Block Brick or Concrete - R11 Insulation,
6bw,Block Brick or Concrete - R13 Insulation,
7bw,Block Brick or Concrete - R15 Insulation,
8bw,Block Brick or Concrete - R19 Insulation,
9bw,Block Brick or Concrete - R21 Insulation,
